ProcessName,RegionName,Time,season,period,UtilizationFactor,MinimumServiceFactor
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,A,Day,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,A,Evening,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,A,Night,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,A,Peak,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,P,Day,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,P,Evening,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,P,Night,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,P,Peak,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,S,Day,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,S,Evening,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,S,Night,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,S,Peak,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,W,Day,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,W,Evening,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,W,Night,1.0,0.0
SCHDAIR00 [SER.COOLTH.HIGH-CONSUMPTION: .00.AIR.DELIVERY.],UK,2010,W,Peak,1.0,0.0
