technology,dst_region,region,installed,agent,sector,type,year,capacity
RCEOTHER00 [RES.COOKING: .00.OTHER.KETTLE.MICROWAVE],UK,UK,2010,r1,building,newcapa,2010,55.41850000000
RCHEHOB00 [RES.COOKING: .00.HOB.ELECTRIC.],UK,UK,2010,r1,building,newcapa,2010,33.82070000000
RCHEOVEN00 [RES.COOKING: .00.OVEN.ELECTRIC.],UK,UK,2010,r1,building,newcapa,2010,47.38440000000
RCHGHOB00 [RES.COOKING: .00.HOB.GAS.],UK,UK,2010,r1,building,newcapa,2010,41.77930000000
RCHGOVEN00 [RES.COOKING: .00.OVEN.GAS.],UK,UK,2010,r1,building,newcapa,2010,20.65560000000
RCHPEA-CCG00 [RES.CHP.EXISTING-AVERAGE: .00.COMBINED-CYCLE.NGA.],UK,UK,2010,r1,building,newcapa,2010,0.20000000000
REAUDVIS00 [RES.CONSUMER-ELECTRONICS: .00.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,UK,2010,r1,building,newcapa,2010,64.16530000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,UK,2010,r1,building,newcapa,2010,17.70680000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,UK,2010,r1,building,newcapa,2010,40.51330000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,UK,2010,r1,building,newcapa,2010,30.88300000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,UK,2010,r1,building,newcapa,2010,1728.47230000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,UK,2010,r1,building,newcapa,2010,911.72740000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,UK,2010,r1,building,newcapa,2010,17.04960000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2010,r1,building,newcapa,2010,23.45230000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2010,r1,building,newcapa,2010,44.37190000000
RHEAAHPRE00 [RES.HEAT.EXISTING-AVERAGE: .00.ELC.HEAT PUMP.AIR.RADIATOR.],UK,UK,2010,r1,building,newcapa,2010,4.00350000000
RHEABLCRG00 [RES.HEAT.EXISTING-AVERAGE: .00.NGA.BOILER.CON.RADIATOR.],UK,UK,2010,r1,building,newcapa,2010,4301.76450000000
RHEABLCRO00 [RES.HEAT.EXISTING-AVERAGE: .00.OIL.BOILER.CON.RADIATOR.],UK,UK,2010,r1,building,newcapa,2010,80.22970000000
